Id,Prediction
-9219333997282093076,1
-9216796593526314243,1
-9216634615606576667,0
-9215626373068452590,0
-9215403080479774736,1
-9209628137799774299,1
-9207926210211741847,1
-9205810265575558307,0
-9203218867400290982,1
-9203074083326844037,1
-9203015042136285465,0
-9202978882049490482,1
-9202502496784562081,1
-9200484937575245416,1
-9200318012635097346,0
-9199610196409753212,0
-9197032310505157086,0
-9195868442191326366,0
-9195686090977101232,0
-9195260543800966067,0
-9194146635617504337,0
-9192794537327061295,1
-9190469164450496466,0
-9189455638966433213,1
-9189207381453115057,1
-9188901093786034641,0
-9188525495406386519,0
-9186171918081940562,0
-9185711194494371034,0
-9185078309454824440,1
-9182048920960441693,0
-9180213434059235416,1
-9179851625622939722,1
-9178263086591830716,1
-9177526562899464144,1
-9175674851165689527,0
-9175038224089462230,0
-9175002695586876434,0
-9174756316853206387,1
-9171396379482982589,1
-9168311993049364724,1
-9165581235948218271,1
-9165378708878299359,0
-9163705405624890364,0
-9163252572728001253,0
-9160324245108004104,1
-9159947483597125258,1
-9159178000438245155,0
-9159152356844806487,1
-9158823065397623797,1
-9158026088969984856,1
-9156743094274713505,1
-9153840703718108002,1
-9153611789884269636,0
-9150551751085611147,1
-9146232379544848157,1
-9146193126960196614,0
-9143800920993031625,1
-9142748716248738937,1
-9141711069532483076,0
-9139396393292815583,1
-9138403763339956624,1
-9137670084615295655,1
-9131026348897016061,0
-9130172399708109534,1
-9129628196498253918,0
-9129379630455655193,0
-9128225198399934013,1
-9126036081806819751,1
-9125411112648913402,0
-9125234338177442366,1
-9124285601945030732,0
-9123332462150436609,1
-9122218501332212149,1
-9122065019743692948,1
-9121965453545633558,0
-9121886309661103276,0
-9120611235576268029,0
-9120384552842455399,0
-9119179312577114916,1
-9117818086197910999,0
-9117591993656562897,0
-9117489995906882505,1
-9117099310838104990,0
-9115627046481864257,0
-9113767554914839186,1
-9112703327642325414,1
-9112091931203952151,1
-9110594960950575606,0
-9110544061700336307,1
-9108979134428425563,1
-9108309619036510117,0
-9106949749072069734,1
-9106589362985855527,0
-9104896239932887927,1
-9104124978180094360,1
-9101683327259229884,1
-9101415980376626030,0
-9100591419798634539,1
-9100469663197686838,0
-9097047176079607341,0
-9096777585160895497,0
-9092467931279728683,1
-9092207930721192579,0
-9091814970378596055,1
-9091270717032210666,0
-9091267638921026238,1
-9090771341330445157,0
-9090311334851542279,1
-9090269440252417932,1
-9087756711949643709,0
-9087402689434609629,1
-9087066070196082492,0
-9086939931450238044,0
-9084558309281130819,0
-9083980699162075289,1
-9081318095689584925,0
-9080816901569786107,1
-9080368921224157281,0
-9078458238757252404,0
-9077219852965272879,1
-9076877285127070123,0
-9076817017355931615,1
-9076811642453873522,0
-9075615759171804650,0
-9074993259739177205,1
-9072052896867874486,1
-9071749688418789131,0
-9070432030062318217,1
-9070342333959384224,0
-9069111260283715673,0
-9068373117856903983,1
-9063435663686910920,0
-9062681036231622972,1
-9062570561404344520,1
-9061483124911427802,1
-9059319923679049698,0
-9058948428420509058,0
-9057004917664211623,1
-9056234834387904530,1
-9054015760461157588,0
-9053556959792889444,1
-9053122779547982950,1
-9052421093376738861,0
-9051641870875910235,0
-9049650355392888951,1
-9049527767877205669,0
-9049266894415480113,0
-9049200587436953936,0
-9045489762007711873,0
-9044419252178272837,1
-9044343393314221920,1
-9038960142356992608,1
-9037528904492677728,1
-9037195256190059333,0
-9036331902107916668,0
-9035888495719896923,1
-9033411182951482832,1
-9032036793891174270,1
-9031079840331105337,0
-9028694092898273376,0
-9027549304876108573,0
-9024673821695957363,0
-9022657735918167640,1
-9021371164955040350,1
-9020373898688424347,1
-9018523455167096537,1
-9017018404033085640,0
-9016740172771428152,1
-9016111520518237486,0
-9015050587089489054,0
-9014616608472107942,0
-9013876487115905232,1
-9012753600910366376,0
-9011715532589276604,0
-9009388711880900729,0
-9008726361476906995,1
-9008324274199279350,0
-9007569812689542476,1
-9006093435181701809,0
-9005795819096222617,1
-9005288497354180337,1
-9004978258381194146,0
-9004214806058672047,1
-9004157025028259254,1
-9003328261988456445,0
-9002435626875028773,1
-8997992186780885399,1
